Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2020,Aabenraa,2004.0,Mand,334,171.374251497006,62843.4131736527,1.4970059880239521,74.25149700598801,17.365269461077844,6.88622754491018,Rural
2021,Aabenraa,2005.0,Mand,335,173.27164179104477,63233.432835820895,1.4925373134328357,76.4179104477612,16.716417910447763,5.3731343283582085,Rural
2022,Aabenraa,2006.0,Mand,322,174.22049689440993,63815.83850931677,2.7950310559006213,72.04968944099379,19.25465838509317,5.900621118012422,Rural
2023,Aabenraa,2007.0,Mand,303,172.78547854785478,62113.53135313532,2.9702970297029703,75.24752475247524,15.841584158415841,5.9405940594059405,Rural
2024,Aabenraa,2008.0,Mand,337,173.85756676557864,63506.528189910976,0.8902077151335311,78.04154302670622,16.913946587537094,4.154302670623145,Rural
2025,Aabenraa,2009.0,Mand,348,174.36206896551724,64662.06896551724,1.1494252873563218,72.98850574712644,20.114942528735632,5.747126436781609,Rural
2014,Aalborg,1998.0,Begge,1593,169.0138104205901,58654.23728813559,1.8832391713747645,82.61142498430634,12.931575643440048,2.573760200878845,Urban
2015,Aalborg,1999.0,Begge,2006,169.45164506480558,60094.91525423729,1.844466600199402,80.259222333001,14.506480558325025,3.389830508474576,Urban
2016,Aalborg,2000.0,Begge,2038,170.73994111874387,61805.54465161923,1.7664376840039255,80.22571148184494,14.573110893032384,3.434739941118744,Urban
2017,Aalborg,2001.0,Begge,1960,170.96989795918367,61798.92857142857,1.8877551020408163,79.89795918367348,14.387755102040817,3.826530612244898,Urban
2018,Aalborg,2002.0,Begge,2009,170.8048780487805,62196.217023394725,2.0905923344947737,77.94922847187655,15.530114484818316,4.430064708810353,Urban
2019,Aalborg,2003.0,Begge,2025,171.01382716049383,62302.864197530864,1.728395061728395,79.30864197530865,14.271604938271604,4.691358024691358,Urban
